X,Y
122,590
185,1298
213,797
232,2451
294,2235
364,1604
430,1875
464,966
527,469
556,651
569,111
601,326
623,456
706,864
724,1530
735,276
758,1363
779,1457
787,2064
793,1504
805,682
855,1729
914,2187
980,1091
1049,921
1049,1164
1115,413
1121,410
1170,1670
1190,806
1195,553
1236,1455
1266,59
1311,1736
1344,1668
1345,638
1359,1278
1361,2058
1384,1661
1572,969
1573,2524
1598,129
1607,1177
1664,883
1727,2436
1776,1965
1844,1142
1879,395
1909,2297
1915,1142
1940,2047
1953,373
1959,610
1973,316
2005,1465
2007,2461
2021,2410
2031,1709
2039,777
2105,148
2241,346
2256,1025
2267,1261
2387,400
2412,1497
2436,90
2443,1317
2469,673
2545,1225
2593,844
2653,2094
2725,50
2758,491
2811,2225
2957,1098
3185,2069
3190,2018
3208,999
3252,2225
3253,1261
3287,128
3513,1023
3544,1066
3566,1325
3616,2329
3630,2110
3647,460
3648,431
3649,330
3692,1760
3744,298
3787,561
3853,1533
3870,529
3946,2051
3949,2090
3955,2479
3957,1572
3961,423
3977,549
3985,2255
3992,139
3993,1964
4020,1900
4028,778
4128,353
4178,1757
4220,1641
4262,2257
4324,2416
4329,1925
4353,1493
4355,1635
4370,909
4411,1487
4470,889
4503,1812
4526,998
4536,1524
4555,803
4559,1379
4636,1136
4640,1852
4680,1833
4681,2427
4694,1358
4702,2422
4742,1284
4743,1099
4762,1027
4797,1416
4812,1249
4827,2431
4847,1711
4880,1155
4930,1878
4965,719
4984,104
4993,1463
5020,1377
5030,1890
5071,1200
5102,1561
5123,1544
5149,1184
5161,1768
5184,1830
5194,1457
5209,1815
5227,2462
5232,1277
5253,1355
5286,1246
5316,1404
5334,1684
5335,2245
5360,1006
5362,2466
5371,1983
5395,2372
5402,1712
5407,1620
5443,1278
5461,2401
5471,1395
5481,650
5493,453
5505,1387
5522,1042
5536,1446
5562,1194
5567,2442
5627,1526
5632,2275
5671,1784
5700,1869
5708,1845
5735,2492
5740,1570
5788,2469
5790,1749
5823,1360
5843,2234
5856,2406
5886,2200
5894,1662
5918,605
5962,2405
5994,1251
6015,2100
6057,1390
6078,2528
6097,2426
6100,2320
6102,2423
6110,1677
6119,1934
6143,2233
6170,2381
6180,2523
6190,1475
6216,2489
6248,1931
6261,1918
6307,2035
6344,878
6352,1157
6396,2431
6400,1896
6427,1248
6432,2166
6472,1468
6478,2294
6521,1897
6530,2458
6559,2287
6573,1550
6578,1756
6615,1704
6640,1836
6694,1732
6702,1454
6711,1855
6741,1955
6760,1920
6762,1584
6803,1490
6830,2221
6840,1230
6852,2297
6865,1657
6882,1430
6899,1141
6940,1562
6981,2497
7021,1625
7041,1730
7084,1567
7090,2146
7094,2251
7125,2516
7162,2281
7200,1223
7215,1714
7235,1332
7265,1874
7276,2515
7300,1215
7355,1642
7379,1141
7382,1634
7388,2046
7401,2524
7416,2197
7434,2214
7455,1648
7462,1553
7486,1586
7492,1956
7515,2455
7527,1234
7559,1649
7588,1203
7625,1301
7673,1575
7681,2307
7700,2433
7714,2529
7740,1407
7745,2025
7770,2327
7796,1929
7830,2211
7845,1718
7867,2256
7902,2395
7911,1665
7950,1740
7962,2264
7971,1579
8014,1456
8049,1172
8055,1824
8072,2367
8100,2539
8119,1884
8151,2084
8164,1895
8181,2412
8203,2363
8229,2189
8255,1970
8274,1592
8291,2095
8314,1297
8351,1955
8380,2058
8405,1472
8423,1598
8450,1619
8496,2371
8509,2292
8524,1898
8552,1839
8590,1354
8601,1765
8617,1739
8650,1870
8677,2121
8684,1813
8690,1217
8732,2226
8751,2376
8762,2185
8780,2322
8810,2287
