X,Y
5,444
13,2476
15,2354
36,1585
37,2110
47,1204
58,2113
81,1535
87,383
93,1931
97,2462
108,1292
110,2310
118,2064
120,2161
131,1688
137,2050
140,2194
141,2364
153,1733
155,1950
155,1910
156,1194
161,1718
163,1503
166,551
167,2144
169,2111
170,1780
178,1842
179,1688
179,1947
182,1782
190,1859
192,1641
193,2279
210,1441
212,2034
213,2182
213,2113
221,1886
226,1889
226,1779
227,1681
228,1313
230,2181
234,1729
235,1930
239,1834
242,1939
243,2045
247,2189
258,2082
258,2194
267,2264
270,1518
283,1547
285,1822
290,1779
296,2445
307,1577
314,2029
316,2065
319,1949
319,1864
331,2091
339,2189
342,2031
344,1050
347,1195
351,1846
367,1647
375,1404
377,1611
378,2050
384,2012
386,2019
387,2539
393,1620
398,2005
403,2059
403,2115
407,2399
411,1898
415,1880
415,1595
418,1508
419,1594
421,2460
422,1743
425,1480
425,1578
428,1549
429,1548
437,1066
449,2088
453,1688
457,1477
460,1636
462,1604
481,1824
488,2067
489,1834
490,171
498,1693
507,2028
509,2561
509,1872
511,852
512,1951
513,1754
523,2155
525,1916
526,1898
529,1877
534,1859
544,2468
545,1954
552,1744
553,1553
556,2437
558,1840
563,1547
565,1555
570,1995
572,2023
574,1701
577,2031
579,1942
579,2052
580,1844
583,639
588,1794
589,1890
589,1688
597,1740
599,1804
600,1557
605,1865
607,2350
613,1707
615,1001
616,1765
621,2054
621,1995
623,1678
625,1552
627,1744
633,2104
635,1663
635,1789
636,1919
637,1825
648,1568
650,2484
654,2566
656,2330
660,1661
666,1803
667,1851
674,1470
679,1577
685,2217
690,1875
692,1481
697,1174
699,2322
700,2130
715,2345
716,2465
719,379
722,1881
725,1433
725,1566
732,2543
740,1724
743,1869
745,2180
746,2406
746,1726
748,2395
753,2492
755,1563
756,1659
759,1647
760,1603
760,1504
763,1103
769,1942
771,1775
773,433
775,2252
775,1886
778,1568
783,1500
785,2064
788,1471
790,1854
799,746
802,1926
803,2007
815,1864
816,1678
818,1937
821,1570
831,1686
836,1789
837,2002
838,1987
841,1538
846,1740
848,2129
849,1961
850,653
856,1884
857,1096
861,1584
871,1890
872,1949
876,2005
876,1584
877,2226
882,1571
889,2149
897,1621
907,2039
920,1536
923,621
923,1870
927,2494
936,2124
937,2013
946,2372
947,2531
948,2185
949,2284
951,2297
956,1466
962,1995
966,1710
970,1608
972,2254
972,2028
978,1178
984,1767
985,2334
991,2486
997,237
1016,557
1020,2441
1023,1698
1025,2090
1026,1037
1030,2550
1052,589
1058,451
1058,2150
1063,97
1063,2065
1095,2479
1098,1875
1104,2293
1132,2221
1133,1212
1133,2117
1161,2241
1201,1562
1213,2353
1216,1944
1237,1588
1238,1638
1239,2399
1262,2035
1266,1792
1270,1596
1272,1546
1284,2570
1294,1987
1308,1550
1312,1888
1316,1467
1334,1480
1340,2308
1347,2249
1352,1893
1355,2374
1358,1774
1361,1823
1364,1730
1367,1773
1368,1660
1373,715
1373,2045
1379,2330
1383,2384
1387,1806
1410,1662
1417,1821
1428,1668
1429,1868
1436,2163
1444,1488
1444,2147
1460,2514
1468,1921
1470,2443
1479,550
1494,2444
1500,1743
1506,2115
1508,1758
1508,2353
1509,422
1511,1482
1529,1982
1529,1668
1532,2322
1535,1507
1538,1609
1541,2080
1546,1729
1567,2559
1604,2424
1606,1807
1609,599
1612,2354
1619,2494
1621,1550
1623,2052
1637,1446
1651,558
1653,1806
1657,2277
1661,1107
1679,2450
1697,1719
1698,1505
1703,1716
1704,1947
1704,2442
1705,1580
1709,1968
1714,2442
1722,2218
1723,1939
1725,1762
1748,2367
1750,516
1753,1869
1754,2161
1760,1906
1772,1411
1774,2284
1782,1752
1786,2515
1806,2435
1806,2357
1819,1958
1821,2056
1830,2348
1832,1482
1832,1452
1832,2193
1837,2294
1838,1814
1846,1449
1855,2536
1855,1694
1859,1904
1873,2513
1874,1889
1898,2387
1899,1429
1904,2061
1920,2277
1927,1719
1932,2138
1935,2187
1949,2543
1950,2098
1955,2191
1967,2500
1971,1482
1981,1350
1986,301
1990,2455
1996,2036
1998,1884
1999,2330
2000,1639
2004,214
2004,1087
2010,2162
2020,81
2024,1483
2027,2382
2033,1996
2042,1643
2043,2229
2046,1531
2048,1410
2066,1946
2067,1547
2068,2298
2078,2204
2112,1694
2115,1837
2116,1797
2118,1420
2128,1607
2131,1032
2134,1707
2147,1503
2151,2418
2153,1874
2160,1955
2167,2525
2203,2432
2204,796
2205,2552
2212,1381
2240,2371
2243,1529
2245,2551
2246,1899
2250,1407
2257,2381
2281,1948
2287,1663
2303,21
2307,2258
2309,2486
2319,1334
2329,517
2343,366
2377,1694
2380,1262
2390,2018
2399,1598
2504,1908
2519,2197
2520,2020
2520,1338
2522,696
2526,821
2558,1368
2590,1830
2598,2136
2643,789
2645,1923
2661,1316
2663,353
2676,1586
2677,1790
2683,6
2683,960
2684,1716
2699,811
2732,2413
2763,1096
2787,1371
2884,750
2925,1089
2945,1715
2953,541
2960,1566
2973,338
2974,1990
2993,1862
3009,2498
3050,1989
3080,1271
3094,1064
3095,1597
3097,2401
3105,951
3110,1641
3140,841
3181,1098
3190,1766
3192,1253
3209,1109
3210,1228
3211,1942
3229,2069
3230,1368
3238,1843
3244,1563
3268,70
3279,1140
3308,1684
3309,790
3332,1308
3346,1481
3374,1574
3389,2494
3398,1775
3408,1334
3410,300
3420,1362
3424,700
3467,988
3473,2111
3492,1652
3495,1599
3507,739
3541,1090
3542,367
3548,1839
3555,1135
3589,1874
3615,1978
3638,2091
3643,256
3663,1243
3676,1281
3685,1696
3754,1661
3762,1797
3778,1313
3783,348
3784,1949
3841,512
3884,1283
3918,963
3924,1569
3931,17
3964,874
3985,832
3986,1123
3991,1925
3992,1300
3997,1428
4019,1362
4020,747
4039,1784
4042,1408
4071,1929
4088,1012
4090,1179
4094,760
4148,985
4166,1876
4175,1479
4189,1286
4201,1965
4208,2367
4259,2127
4282,867
4285,1050
4313,1723
4349,716
4359,1154
4367,441
4378,1540
4382,1761
4383,1279
4432,1366
4435,1284
4452,2073
4453,1824
4505,1381
4535,1800
4545,807
4546,738
4547,1536
4576,799
4596,1434
4598,1385
4627,2161
4628,764
4629,1330
4667,819
4670,688
4694,1072
4700,1263
4713,822
4716,1145
4730,2376
4730,1485
4738,1550
4740,1433
4759,1934
4770,1594
4774,761
4790,1233
4828,1335
4839,1032
4860,738
4894,911
4913,1244
4960,2047
4983,461
4998,1406
5016,598
5086,1402
5102,2447
5135,13
5165,51
5169,1469
5170,906
5177,831
5194,343
5215,1449
5231,1502
5239,1778
5252,878
5274,2240
5276,1083
5279,224
5283,1075
5315,1709
5316,1951
5319,993
5322,2116
5322,339
5335,1821
5363,1641
5378,710
5398,1806
5423,132
5442,1395
5468,1004
5473,1183
5485,1696
5506,66
5520,2270
5541,92
5545,1732
5571,380
5572,1849
5589,2271
5590,1083
5620,788
5628,1956
5633,1641
5636,1017
5636,1712
5651,1162
5652,814
5661,937
5690,1787
5707,97
5719,1064
5726,1842
5743,2074
5767,1113
5781,2260
5787,929
5787,1897
5817,363
5833,1306
5850,1678
5869,1750
5899,1044
5908,1887
5916,232
5928,1723
5928,990
5931,1761
5949,991
5961,1939
5982,305
5988,753
5996,1412
5997,1822
6002,781
6025,1518
6037,518
6042,1225
6042,1826
6045,921
6057,229
6058,904
6074,284
6074,1696
6079,1585
6084,857
6085,1566
6094,174
6096,962
6100,1870
6101,884
6103,529
6104,854
6120,1387
6144,1119
6149,2049
6153,2000
6158,1876
6167,1509
6184,300
6186,286
6191,810
6200,1298
6202,1465
6204,1899
6214,847
6215,1532
6221,1174
6225,321
6230,1559
6233,922
6235,211
