X,Y
7,1520
10,1878
13,2537
16,1795
18,2557
18,1839
33,1505
38,1623
39,1647
40,1805
50,2291
65,1400
74,1857
98,1832
107,2173
110,2009
129,1878
130,2031
145,1970
161,1879
165,2324
168,2082
174,1763
179,2118
184,1866
190,27
191,1760
192,2202
192,2388
202,2015
212,2171
240,1963
241,1797
247,1803
252,1847
257,1870
262,1688
266,2062
271,2036
274,1950
281,2496
290,1501
291,1731
293,2372
293,1657
298,1961
306,37
310,2126
334,1633
335,1746
354,1997
359,2354
364,1957
374,1798
383,2176
389,1961
390,1771
399,2250
401,2069
407,1742
415,1754
427,2090
436,933
441,1843
449,1871
451,1700
456,2268
458,2041
459,1954
466,1356
466,1581
468,2050
471,1573
474,1524
492,1502
498,1785
501,2439
501,1728
505,2073
507,1930
509,2032
513,2270
521,1706
526,1962
526,1683
529,1620
530,475
530,2045
533,2128
536,2132
542,2278
544,2224
545,2182
547,1692
547,2056
557,2117
568,2103
575,1749
582,1783
583,2447
584,2378
590,2404
591,1653
598,1974
599,1581
607,1673
609,1931
610,2091
623,528
641,1812
644,865
653,1614
655,2494
657,2089
659,1828
661,2375
666,1934
668,1732
671,1740
673,2183
674,2527
684,2011
687,2504
690,1622
691,1386
704,1490
705,2209
705,1813
706,1883
707,1518
718,1946
718,1860
721,1995
722,1587
726,1774
728,1503
736,2109
741,1662
745,2283
747,1471
758,2139
782,1381
783,2103
785,2143
787,2164
802,363
829,1838
839,1225
842,2132
843,2415
845,833
858,1489
867,2069
870,1735
879,1500
879,2231
887,1711
890,1634
892,2099
893,1464
895,2000
898,1813
921,1581
921,2545
930,2278
940,1715
950,1473
964,1788
968,2469
969,2532
982,29
986,2416
1011,1494
1025,1679
1034,1760
1037,1827
1038,2479
1050,1707
1052,1314
1056,1792
1061,2078
1062,2455
1092,611
1100,2018
1154,1611
1169,1966
1175,1898
1193,416
1193,2241
1199,1566
1203,2546
1219,1400
1223,1768
1228,1928
1229,1667
1235,1422
1237,2284
1269,2088
1309,1704
1314,2040
1322,2124
1327,1699
1332,2170
1354,1956
1365,2462
1369,2365
1379,1477
1389,2349
1429,1417
1431,1742
1434,2092
1480,2154
1491,1456
1494,2263
1502,2521
1522,1740
1524,1650
1536,2039
1542,2102
1548,2384
1553,2305
1563,1941
1588,1535
1599,1615
1600,177
1624,2491
1628,1952
1635,1806
1636,1435
1638,2149
1642,1514
1643,2099
1652,1911
1655,1781
1672,2209
1686,2512
1711,1406
1716,1402
1719,1942
1721,1826
1727,1856
1729,2366
1738,1583
1768,1768
1774,1742
1780,2031
1784,1699
1785,2301
1797,1965
1815,2236
1831,1624
1844,1411
1856,2389
1860,1368
1860,1859
1860,1586
1876,1575
1885,1653
1887,1480
1889,2307
1905,1623
1912,408
1916,1677
1920,2531
1923,2371
1941,787
1944,866
1950,1136
1955,1480
1964,502
1966,1568
1974,1900
1979,2149
1984,2224
1988,2290
1990,2423
1992,1556
1993,2486
1998,997
2012,1318
2017,1999
2021,2450
2028,2457
2029,1472
2042,2000
2053,1285
2067,300
2072,1894
2072,1778
2094,1811
2100,489
2111,2209
2113,1513
2127,2231
2135,2398
2144,1615
2175,1723
2181,2179
2185,1536
2188,1408
2198,1482
2203,2020
2216,1530
2218,2312
2225,95
2227,2516
2230,2263
2238,627
2244,1912
2271,1897
2275,131
2281,39
2281,877
2282,1993
2290,2136
2296,1545
2298,1994
2320,1632
2322,2345
2325,1678
2331,705
2349,1816
2359,877
2364,2471
2368,1639
2375,2410
2393,1830
2394,1695
2396,2025
2404,1129
2427,1096
2431,1
2443,392
2445,406
2466,1616
2476,1058
2510,985
2519,2057
2519,1986
2524,457
2541,1706
2550,1054
2589,826
2608,740
2612,1758
2620,1522
2634,848
2635,1604
2731,785
2734,1944
2794,1259
2796,1526
2811,1640
2839,2167
2839,1188
2846,1535
2851,948
2853,868
2858,1264
2884,1327
2888,910
2895,551
2903,1419
2922,1584
2965,1205
2968,1624
2985,1164
3004,1075
3027,824
3071,765
3178,2535
3182,775
3233,1864
3245,852
3247,1134
3268,660
3343,1496
3346,1440
3349,1027
3354,874
3357,1585
3360,701
3370,847
3396,1272
3401,1268
3435,1585
3451,1909
3456,2448
3483,1940
3512,1311
3517,1986
3521,1254
3569,854
3581,1480
3591,1247
3620,1918
3637,1023
3647,1132
3673,1386
3694,1072
3717,2228
3734,1469
3738,40
3755,2477
3792,1834
3793,604
3801,269
3804,655
3843,1085
3846,1962
3861,1362
3875,1989
3881,2507
3889,869
3893,776
3909,1290
3977,1646
4008,1410
4034,684
4034,1217
4042,932
4077,2466
4093,1275
4129,798
4149,1532
4151,468
4165,1213
4178,730
4181,1497
4187,186
4220,1062
4249,559
4258,1886
4273,325
4356,1302
4389,234
4408,789
4416,1513
4431,1052
4437,977
4455,1960
4485,1318
4497,2310
4517,1506
4586,1356
4599,163
4607,603
4621,1940
4622,1596
4624,1985
4628,1463
4633,769
4661,1856
4662,1951
4669,1693
4698,2299
4716,361
4716,62
4737,1220
4758,1710
4773,1148
4780,1242
4785,1029
4794,1467
4821,1478
4831,898
